"ind" "Trait1" "Trait2"
"IND1" "4.985" "5.985"
"IND2" "4.616" "5.616"
"IND3" "-0.133" " 0.867"
"IND4" "-5.002" "-4.002"
"IND5" "6.815" "7.815"
"IND6" "2.678" "3.678"
"IND7" "5.784" "6.784"
"IND8" "-1.811" "-0.811"
"IND9" "0.534" "1.534"
"IND10" "3.258" "4.258"
"IND11" "-13.683" "-12.683"
"IND12" "1.55" "2.55"
"IND13" "-3.981" "-2.981"
"IND14" "-5.048" "-4.048"
"IND15" "-1.108" "-0.108"
"IND16" "-3.063" "-2.063"
"IND17" "-3.335" "-2.335"
"IND18" "-7.587" "-6.587"
"IND19" "-14.11" "-13.11"
"IND20" "8" "9"
"IND21" "-2.495" "-1.495"
"IND22" "-0.895" " 0.105"
"IND23" "10.959" "11.959"
"IND24" "0.359" "1.359"
"IND25" "-5.203" "-4.203"
"IND26" "-3.026" "-2.026"
"IND27" "1.406" "2.406"
"IND28" "-4.619" "-3.619"
"IND29" "-0.128" " 0.872"
"IND30" " 9.4" "10.4"
"IND31" " 9.398" "10.398"
"IND32" "0.501" "1.501"
"IND33" "-3.625" "-2.625"
"IND34" "-5.005" "-4.005"
"IND35" "-3.863" "-2.863"
"IND36" "-3.838" "-2.838"
"IND37" "-14.248" "-13.248"
"IND38" "0.103" "1.103"
"IND39" "-6.175" "-5.175"
"IND40" "-8.105" "-7.105"
"IND41" "7.333" "8.333"
"IND42" "-4.789" "-3.789"
"IND43" "-2.172" "-1.172"
"IND44" "4.591" "5.591"
"IND45" "-11.819" "-10.819"
"IND46" "-4.158" "-3.158"
"IND47" "4.17" "5.17"
"IND48" "-2.389" "-1.389"
"IND49" "3.842" "4.842"
"IND50" "-4.033" "-3.033"
"IND51" "18.095" "19.095"
"IND52" "-2.945" "-1.945"
"IND53" "3.381" "4.381"
"IND54" "6.455" "7.455"
"IND55" "7.233" "8.233"
"IND56" "1.524" "2.524"
"IND57" "-10.77" " -9.77"
"IND58" "-6.964" "-5.964"
"IND59" "-0.323" " 0.677"
"IND60" "11.625" "12.625"
"IND61" "3.683" "4.683"
"IND62" "-10.655" " -9.655"
"IND63" "8.254" "9.254"
"IND64" "-8.697" "-7.697"
"IND65" "-3.548" "-2.548"
"IND66" "1.505" "2.505"
"IND67" "-0.209" " 0.791"
"IND68" "-0.744" " 0.256"
"IND69" "1.912" "2.912"
"IND70" "-24.418" "-23.418"
"IND71" "12.163" "13.163"
"IND72" "1.001" "2.001"
"IND73" "-4.337" "-3.337"
"IND74" "-3.628" "-2.628"
"IND75" "-2.368" "-1.368"
"IND76" "1.511" "2.511"
"IND77" "6.035" "7.035"
"IND78" " 9.595" "10.595"
"IND79" "-1.17" "-0.17"
"IND80" "-2.271" "-1.271"
"IND81" "-4.912" "-3.912"
"IND82" "4.898" "5.898"
"IND83" "-2.589" "-1.589"
"IND84" "0.213" "1.213"
"IND85" "4.527" "5.527"
"IND86" "4.528" "5.528"
"IND87" "11.871" "12.871"
"IND88" "-12.875" "-11.875"
"IND89" "-5.348" "-4.348"
"IND90" "8.049" "9.049"
"IND91" "-6.119" "-5.119"
"IND92" "8.272" "9.272"
"IND93" "2.623" "3.623"
"IND94" "-0.672" " 0.328"
"IND95" "-0.693" " 0.307"
"IND96" "6.014" "7.014"
"IND97" "-1.772" "-0.772"
"IND98" "-10.497" " -9.497"
"IND99" "5.231" "6.231"
"IND100" "2.441" "3.441"
"IND101" "6.107" "7.107"
"IND102" "-3.085" "-2.085"
"IND103" "-0.248" " 0.752"
"IND104" "4.691" "5.691"
"IND105" "-14.554" "-13.554"
